id,pardon_date,minister,crime,gender
BOE-A-1996-5041,1996-02-02,Juan Alberto Belloch,"los delitos de robo con homicidio, utilización ilegítima de vehículos de motor sin permiso, tenencia ilícita de armas, robo frustrado, otro de tenencia ilícita de armas, falsedad y de robo, a la pena de treinta años de reclusión mayor, seis meses de arresto mayor, privación del permiso de conducir durante un año, multa de 100.000 pesetas, cuatro años dos meses y un día de prisión menor, tres años de prisión menor, dos años cuatro meses y un día de prisión menor, multa de 500.000 pesetas y a seis años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena, que por aplicación de la regla segunda del artículo 70 del Código Penal se fijó el máximo de cumplimiento en treinta años",Hombre
BOE-A-1996-5528,1996-02-16,Juan Alberto Belloch,"un delito de tráfico de drogas, a la pena de cuatro años dos meses y un día de prisión menor y multa de 51.000.000 de pesetas e inhabilitación especial para ejercer el cargo de funcionario de prisiones por cuatro años dos meses y un día, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6086,1996-02-23,Juan Alberto Belloch,"un delito de tráfico de drogas, a la pena de cuatro años dos meses y un día de prisión menor y multa de 51.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6534,1996-03-01,Juan Alberto Belloch,"un delito de insumisión a la prestación social sustitutoria, a la pena de dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-7277,1996-03-08,Juan Alberto Belloch,"dos delitos contra la salud pública, a la pena de dos años y seis meses de prisión menor y multa de 1.000.000 de pesetas y a seis meses de arresto mayor y multa de 500.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-7445,1996-03-28,Juan Alberto Belloch,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-7446,1996-03-28,Juan Alberto Belloch,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8619,1996-03-28,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de cuatro años, dos meses y un día de prisión menor y multa de 50.000.001 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8625,1996-03-28,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de tres años de prisión menor y multa de 2.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8632,1996-03-28,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de dos años de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
