id,pardon_date,minister,crime,gender
BOE-A-1996-3594,1996-01-19,Juan Alberto Belloch,"un delito de robo, a la pena de dos años cuatro meses y un día de prisión menor, y otros dos delitos de robo, a dos penas de cinco años de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-5527,1996-02-16,Juan Alberto Belloch,"un delito de robo continuado en las cosas cometido en casa habitada, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6090,1996-02-23,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de tres años de prisión menor y multa de 51.000.000 de pesetas -y cómplice de un delito de contrabando, a la pena de 100.000 pesetas y 3.000.000 de pesetas de multa-, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-6097,1996-02-23,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de dos años de prisión menor y multa de 19.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6535,1996-03-01,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de cuatro años de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9694,1996-04-12,Juan Alberto Belloch,"un delito de malversación de caudales públicos en concurso con falsificación, a la pena de diecisiete años, cuatro meses y un día de reclusión menor y diez años y un día de inhabilitación absoluta, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9901,1996-04-19,Juan Alberto Belloch,"un delito de robo con violencia e intimidación en las personas, a la pena de seis años y un día de prisión mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-11339,1996-04-26,Juan Alberto Belloch,"dos delitos de robo con intimidación en las personas, a la pena de cuatro años, dos meses y un día de prisión menor, y de un delito de robo con violencia, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-28767,1996-11-22,Margarita Mariscal De Gante,"dos delitos continuados de robo, a la pena de cuatro años y tres meses de prisión menor por cada delito, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1997-1531,1997-01-10,Margarita Mariscal De Gante,"un delito de receptación, a la pena de seis meses y un día de prisión menor y multa de 30.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
