id,pardon_date,minister,crime,gender
BOE-A-1996-3528,1996-01-15,Juan Alberto Belloch,"dos delitos de lesiones, a la pena de cinco meses de arresto mayor y dos años cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6530,1996-03-01,Juan Alberto Belloch,"un delito de robo con fuerza en las cosas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-9913,1996-04-19,Juan Alberto Belloch,"un delito de quebrantamiento de condena, a la pena de dos meses y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-18441,1996-06-28,Margarita Mariscal De Gante,"un delito de robo, a la pena de seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-18446,1996-06-28,Margarita Mariscal De Gante,"un delito de robo, a la pena de un seis meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-20474,1996-08-02,Margarita Mariscal De Gante,"un delito de robo, a la pena de un año de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22674,1996-09-20,Margarita Mariscal De Gante,"un delito de falsificación de documento mercantil, a la pena de seis meses y un día de prisión menor, y multa de 100.000 pesetas, y otro delito de estafa, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-22676,1996-09-20,Margarita Mariscal De Gante,"un delito de falsedad de documento mercantil, a la pena de seis meses y un día de prisión menor, y multa de 100.000 pesetas, y otro delito de estafa, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-24006,1996-10-04,Margarita Mariscal De Gante,"un delito de abandono de familia, a la pena de dos meses de arresto mayor y multa de 100.000 pesetas, y otro delito de abandono de familia, a la pena de un mes y un día de arresto mayor y multa de 100.000 pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-27249,1996-11-08,Margarita Mariscal De Gante,"un delito de quebrantamiento de condena, a la pena de un mes y un día de arresto mayor, con las accesorias legales",Hombre
