id,pardon_date,minister,crime,gender
BOE-A-1996-3534,1996-01-15,Juan Alberto Belloch,"un delito de quebrantamiento de condena, a la pena de un mes y un día de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-3589,1996-01-19,Juan Alberto Belloch,"un delito de robo con violencia e intimidación en las personas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-3593,1996-01-19,Juan Alberto Belloch,"un delito de robo con intimidación y con uso de armas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-4292,1996-01-27,Juan Alberto Belloch,"un delito de lesiones, a la pena de dos años, cuatro meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-5038,1996-02-02,Juan Alberto Belloch,"un delito de quiebra culpable, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6098,1996-02-23,Juan Alberto Belloch,"un delito contra la salud pública, a la pena de dos años cuatro meses y un día de prisión menor y multa de 1.000.000 de pesetas, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-6091,1996-02-23,Juan Alberto Belloch,"un delito de robo con violencia e intimidación en las personas, a la pena de cuatro años dos meses y un día de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
BOE-A-1996-6533,1996-03-01,Juan Alberto Belloch,"un delito de receptación, a la pena de dos años cuatro meses y un día de prisión menor y multa de 50.000 pesetas, y otro delito de robo, a la pena de dos años y cinco meses de prisión menor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-7265,1996-03-08,Juan Alberto Belloch,"un delito de robo, a la pena de cuatro años, dos meses y un día de prisión menor, y otro delito de hurto, a la pena de dos meses de arresto mayor, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Hombre
BOE-A-1996-8227,1996-03-15,Juan Alberto Belloch,"un delito relativo a la prostitución, a la pena de cuatro años dos meses y un día de prisión menor, multa de 300.000 pesetas e inhabilitación especial por siete años para profesión u oficio relacionado con la moral o la juventud, con las accesorias de suspensión de todo cargo público y derecho de sufragio durante el tiempo de la condena",Mujer
